('შ', 0.8637827358245119), ('ფ', 0.7916786124230588), ('ყ', 0.7350864133827568), ('ჟ', 0.7298385294645666), ('თ', 0.7019787230648062), ('ი', 0.667086661710286), ('მ', 0.6449939580500187), ('ვ', 0.6217063407614964), ('ჯ', 0.6215008655282999), ('დ', 0.6210468351369823), ('ო', 0.5899653172543664), ('ტ', 0.5825008570470276), ('ჭ', 0.5701859955338886), ('წ', 0.5378590172154245), ('რ', 0.5357202511888985), ('უ', 0.5120950802107483), ('ც', 0.49028373871409614), ('ღ', 0.4767914337671545), ('გ', 0.4653215273731237), ('ე', 0.41297995514599084), ('ლ', 0.3817563225371655), ('ბ', 0.3301094155802138), ('ძ', 0.3286170408192135), ('ნ', 0.315984779297647), ('ხ', 0.2914861882292943), ('ქ', 0.28943360385519346), ('პ', 0.23559197637426987), ('ჰ', 0.22447149181666692), ('კ', 0.13965042905654623), ('ზ', 0.12521918746233152), ('ჩ', 0.04322618838874415), ('ა', 0.023121967927231313), ('ს', 0.0)
('ე', 0.9342017633259254), ('პ', 0.8121999753524227), ('ჰ', 0.7666152269597378), ('კ', 0.7642447072232014), ('ძ', 0.7546818676931762), ('ვ', 0.7407772504440885), ('ქ', 0.6949402457122246), ('ტ', 0.6873213238512195), ('ყ', 0.6774857012274869), ('ჭ', 0.6385037718761329), ('ც', 0.6349916997891277), ('ჟ', 0.6103521648578294), ('ა', 0.5995544171257108), ('ჯ', 0.5922032511702161), ('მ', 0.562910144883025), ('ფ', 0.5393384921962753), ('შ', 0.5365248673208872), ('უ', 0.5280332382842914), ('ი', 0.5207687113055501), ('რ', 0.5167216303447618), ('დ', 0.4831952794203145), ('თ', 0.4779087579371044), ('ბ', 0.4249491071879452), ('გ', 0.4111596556019197), ('ღ', 0.35949360327672897), ('წ', 0.3147272121637632), ('ლ', 0.31318776617953614), ('ო', 0.2789018136962016), ('ს', 0.2763876654433065), ('ხ', 0.25447889132041057), ('ნ', 0.24694192944550764), ('ზ', 0.16531364474138543), ('ჩ', 0.0)
('უ', 0.961776933211405), ('ფ', 0.7118255036357195), ('შ', 0.5930288984896328), ('ყ', 0.5799842483023394), ('ი', 0.5751085688227755), ('ჟ', 0.5605334904324881), ('ვ', 0.5545362219077248), ('ტ', 0.5406038266093116), ('ე', 0.5325798807180209), ('ო', 0.5242724140319901), ('რ', 0.5142437053860416), ('წ', 0.5090683480986755), ('ჯ', 0.49057682702066086), ('ქ', 0.4861516885193322), ('დ', 0.46765099329408244), ('თ', 0.4588930828902589), ('ჭ', 0.45196314820770134), ('ც', 0.4118436307243212), ('ლ', 0.407993155918284), ('მ', 0.4015966249016263), ('ღ', 0.39969259545281033), ('პ', 0.3969766066811271), ('ჰ', 0.3779153737042731), ('კ', 0.35238004678143464), ('ძ', 0.3512098419934142), ('გ', 0.3096671091915675), ('ბ', 0.2753389269309189), ('ზ', 0.2462500532549009), ('ნ', 0.19531457537403285), ('ხ', 0.18104628205393503), ('ა', 0.15652877313774083), ('ს', 0.06052437465523275), ('ჩ', 0.0)
('ძ', 0.9713028640864737), ('ე', 0.7770860319044796), ('პ', 0.7429369641373775), ('ჰ', 0.7411920122839214), ('კ', 0.7380094050657268), ('ა', 0.724805630276803), ('ვ', 0.6910947193286656), ('ტ', 0.6805257209669762), ('ც', 0.6521308896971123), ('ჭ', 0.644417895993331), ('ყ', 0.6440478815759623), ('მ', 0.6425009698423325), ('ქ', 0.6318272057538405), ('ჟ', 0.6049100569848318), ('ჯ', 0.5699552252760424), ('შ', 0.5085220898187471), ('თ', 0.5016534664667116), ('დ', 0.4691980795346473), ('ი', 0.46545282104384966), ('რ', 0.464815381980911), ('ფ', 0.4490799602971647), ('გ', 0.4427693940652605), ('ბ', 0.4370884150550629), ('ღ', 0.3630243365518482), ('უ', 0.35613626731351977), ('ს', 0.2946694645632806), ('ლ', 0.2788868635084133), ('ხ', 0.2784724792501623), ('ნ', 0.26287330232706896), ('წ', 0.2500424467660426), ('ო', 0.221326632929699), ('ზ', 0.07341539704815303), ('ჩ', 0.0)
('ლ', 0.9671431562410865), ('ღ', 0.8326845887708921), ('წ', 0.7340770367134057), ('ი', 0.6882835751925087), ('ო', 0.6562904268344525), ('დ', 0.6530039328057797), ('რ', 0.6508600079221922), ('თ', 0.5928429511737475), ('ტ', 0.529634698145186), ('ჯ', 0.5087859839737737), ('გ', 0.4841138980937587), ('ფ', 0.4349005611965646), ('ბ', 0.40980974532872694), ('ნ', 0.3963399040486897), ('შ', 0.3936243283933889), ('ყ', 0.3727147748044778), ('ც', 0.36787551310819255), ('ხ', 0.35953556715183754), ('უ', 0.34480974571219714), ('ვ', 0.3383646060158081), ('მ', 0.3140342402491104), ('ჟ', 0.3090928417584131), ('ჭ', 0.26365736969694686), ('ზ', 0.26091411091101246), ('ე', 0.23318912890916177), ('ძ', 0.1918619840499135), ('ჩ', 0.18616177981014748), ('ს', 0.14016980585504013), ('პ', 0.13683419697604682), ('ქ', 0.05922509749992044), ('ჰ', 0.018060759338175192), ('კ', 0.013476753760500282), ('ა', 0.0)
('ე', 0.9375910118539206), ('პ', 0.8000956314043914), ('ძ', 0.7676066848682718), ('ჰ', 0.756009559827036), ('ვ', 0.7518606644711511), ('კ', 0.7518573407067688), ('ტ', 0.7052982477357606), ('ქ', 0.6879919916078817), ('ყ', 0.6876933302775023), ('ჭ', 0.6468235841717853), ('ც', 0.6461259458319819), ('ჟ', 0.6201887758229294), ('ჯ', 0.6030958607787364), ('ა', 0.600140475167866), ('მ', 0.5784483334086745), ('შ', 0.5467175478901605), ('ფ', 0.5447875509818108), ('ი', 0.5322101825843779), ('რ', 0.5250092023136903), ('უ', 0.521870361033667), ('დ', 0.49625576315598197), ('თ', 0.49427779720327225), ('ბ', 0.430785809227225), ('გ', 0.42199022038220235), ('ღ', 0.3738118993369707), ('ლ', 0.3234990431115502), ('წ', 0.3216434832794802), ('ო', 0.2860305127199103), ('ს', 0.2742839222012011), ('ხ', 0.25972332421261357), ('ნ', 0.25296318006728447), ('ზ', 0.15714126274267126), ('ჩ', 0.0)
('ბ', 0.910761107133546), ('გ', 0.7646634069515381), ('ც', 0.7202996393061551), ('ჯ', 0.7132504350916737), ('ხ', 0.6615132407132406), ('რ', 0.6310500419315903), ('ნ', 0.6293272558183256), ('ს', 0.6151773844246698), ('დ', 0.6118965242293883), ('ტ', 0.5340470031659006), ('ი', 0.5172972943901553), ('ჭ', 0.5071460532951537), ('ვ', 0.48727641761657847), ('თ', 0.4749737867503786), ('ყ', 0.4416952489892616), ('მ', 0.4034010075771569), ('პ', 0.37620704654198167), ('ძ', 0.36554483391809345), ('ღ', 0.35320987658401504), ('ზ', 0.3517008762631034), ('ჩ', 0.3236714081232477), ('ე', 0.31693125190496274), ('წ', 0.3133200408102529), ('ლ', 0.2999245345845134), ('ფ', 0.2890422053969257), ('ჟ', 0.279913602402478), ('შ', 0.26523113624274086), ('ა', 0.20954278933159343), ('ო', 0.18301535502014998), ('ჰ', 0.1676453138269618), ('კ', 0.11475084894222709), ('უ', 0.08928322606358363), ('ქ', 0.0)
('ე', 0.9375910118539206), ('პ', 0.8000956314043914), ('ძ', 0.7676066848682718), ('ჰ', 0.756009559827036), ('ვ', 0.7518606644711511), ('კ', 0.7518573407067688), ('ტ', 0.7052982477357606), ('ქ', 0.6879919916078817), ('ყ', 0.6876933302775023), ('ჭ', 0.6468235841717853), ('ც', 0.6461259458319819), ('ჟ', 0.6201887758229294), ('ჯ', 0.6030958607787364), ('ა', 0.600140475167866), ('მ', 0.5784483334086745), ('შ', 0.5467175478901605), ('ფ', 0.5447875509818108), ('ი', 0.5322101825843779), ('რ', 0.5250092023136903), ('უ', 0.521870361033667), ('დ', 0.49625576315598197), ('თ', 0.49427779720327225), ('ბ', 0.430785809227225), ('გ', 0.42199022038220235), ('ღ', 0.3738118993369707), ('ლ', 0.3234990431115502), ('წ', 0.3216434832794802), ('ო', 0.2860305127199103), ('ს', 0.2742839222012011), ('ხ', 0.25972332421261357), ('ნ', 0.25296318006728447), ('ზ', 0.15714126274267126), ('ჩ', 0.0)
('ლ', 0.9663776819949863), ('ღ', 0.8443662481621249), ('წ', 0.7317652660302127), ('ი', 0.6805428773328341), ('ო', 0.6623568643981411), ('დ', 0.6483725506280679), ('რ', 0.638790730757455), ('თ', 0.5968523170274003), ('ტ', 0.5255587353621087), ('ჯ', 0.5020657267147282), ('გ', 0.4819571115449872), ('ფ', 0.4335632860649915), ('ბ', 0.40290091869890077), ('შ', 0.3974090814472012), ('ნ', 0.39493196285179344), ('ყ', 0.3710882304063724), ('ც', 0.3631038506330003), ('ხ', 0.35777399907335683), ('უ', 0.3400410847902229), ('ვ', 0.33497907906204294), ('მ', 0.31863538198697106), ('ჟ', 0.31211740043359715), ('ჭ', 0.26226415876698705), ('ზ', 0.25062373229139157), ('ე', 0.22923277629467909), ('ძ', 0.1917088653612622), ('ჩ', 0.1868160999366295), ('ს', 0.13400726818280928), ('პ', 0.13097711389721722), ('ქ', 0.06092641597288073), ('ჰ', 0.016862896791699722), ('კ', 0.012057951972568537), ('ა', 0.0)
('დ', 0.9385327295908986), ('ი', 0.8622767418486763), ('რ', 0.808969363035528), ('ჯ', 0.7576353509281321), ('თ', 0.7449397831155745), ('გ', 0.6948493544595381), ('ღ', 0.6585635210999461), ('წ', 0.6448482229907291), ('ტ', 0.6288384998842873), ('ლ', 0.6072341778363715), ('ბ', 0.5787428437390294), ('ც', 0.5738815209218805), ('ო', 0.5406266827308401), ('ნ', 0.5334870476027476), ('ფ', 0.5148383310464575), ('ყ', 0.5111534631354109), ('ხ', 0.4999315151824191), ('ვ', 0.49284870801829195), ('შ', 0.4624960056529498), ('მ', 0.4453279386993071), ('ჭ', 0.4432360167373508), ('ჟ', 0.38706784238447955), ('უ', 0.28601953258253887), ('ე', 0.28338433645056116), ('ზ', 0.2717524062104332), ('ძ', 0.2504239276941277), ('ს', 0.2156071746217395), ('ჩ', 0.2109232033499936), ('პ', 0.1963955774401086), ('ჰ', 0.05219544472280779), ('ქ', 0.012605555875209618), ('კ', 0.00031322000945921413), ('ა', 0.0)
('ა', 0.9177913927969805), ('ძ', 0.7821742779140017), ('კ', 0.7679118312735963), ('ჰ', 0.7478454902149985), ('პ', 0.7155627178095976), ('ე', 0.6568330694693473), ('ქ', 0.561141650324118), ('ც', 0.5580673929654616), ('ვ', 0.5561867176403071), ('ჭ', 0.5441239729920668), ('ტ', 0.5202755192970459), ('მ', 0.5100874500363055), ('ყ', 0.4883975322625631), ('ჟ', 0.45642338033612007), ('ჯ', 0.44907184540359457), ('ბ', 0.38136877274584824), ('თ', 0.37755564811514275), ('შ', 0.3711753909355848), ('გ', 0.3611268916146142), ('დ', 0.3586819697875848), ('რ', 0.35425968671780017), ('ი', 0.34559783591301907), ('ს', 0.33266827570511626), ('ფ', 0.3322861973280814), ('უ', 0.26337482463337636), ('ღ', 0.25627303095840837), ('ხ', 0.23557969929299793), ('ნ', 0.21663314818915902), ('ლ', 0.19018770285739695), ('წ', 0.15115318290525892), ('ო', 0.11940262107615474), ('ზ', 0.049799323679086016), ('ჩ', 0.0)
