('შ', 0.9198871374115689), ('ჟ', 0.7852227975053017), ('ფ', 0.7595383294609075), ('ყ', 0.7379678321323082), ('მ', 0.7025264707671759), ('თ', 0.6805907395812564), ('ვ', 0.6296303925266522), ('ი', 0.6033421180271534), ('ჭ', 0.5935816309990158), ('ჯ', 0.5826740348552624), ('დ', 0.5720080129264129), ('ტ', 0.5612381833289299), ('ო', 0.5409447880917844), ('უ', 0.4962404619941885), ('ც', 0.4857160706379394), ('რ', 0.4771161090949454), ('წ', 0.4745462431515859), ('ღ', 0.4441437710635666), ('ე', 0.4414896857286954), ('გ', 0.44011688002046534), ('ძ', 0.3735039951872763), ('ქ', 0.35521381082901804), ('ლ', 0.34022763181436344), ('ბ', 0.30587213305744876), ('ნ', 0.29321035840041154), ('ჰ', 0.28389246161453996), ('ხ', 0.2717559445408384), ('პ', 0.25984157296255106), ('კ', 0.19499309213833194), ('ზ', 0.08584256724242445), ('ა', 0.08028622059254797), ('ჩ', 0.03319049550709663), ('ს', 0.0)
('ე', 0.9762533997363538), ('ჰ', 0.8022585715706213), ('ძ', 0.7770381359502295), ('პ', 0.7751394886714623), ('კ', 0.7728256109403907), ('ვ', 0.7573552105028711), ('ქ', 0.7449453915799781), ('ყ', 0.7038787719505188), ('ტ', 0.6716421409787363), ('ჭ', 0.6618330200296325), ('ჟ', 0.6554581929597527), ('ც', 0.6283923057140461), ('მ', 0.6095761914131116), ('ა', 0.6015253201751831), ('ჯ', 0.5862997773903448), ('შ', 0.576637912030993), ('ფ', 0.55617667353053), ('უ', 0.5283619865009119), ('ი', 0.5120306476830518), ('თ', 0.49274851070167835), ('რ', 0.4916904330676075), ('დ', 0.47907328390727966), ('გ', 0.407713322474593), ('ბ', 0.4068483012709635), ('ღ', 0.3555825797018357), ('წ', 0.3073549532227907), ('ლ', 0.2987742826106661), ('ო', 0.2858039750183906), ('ს', 0.2522445092478468), ('ხ', 0.2502123518728623), ('ნ', 0.24451151987446307), ('ზ', 0.14307518357788385), ('ჩ', 0.0)
('უ', 0.9771079932435456), ('ფ', 0.7494388215879197), ('შ', 0.6211020411248606), ('ყ', 0.6011406062646554), ('ი', 0.586921601909085), ('ჟ', 0.5817100366593347), ('ვ', 0.5694187688775334), ('ტ', 0.5412586721553094), ('ო', 0.5362268147169611), ('ე', 0.5249348497377594), ('რ', 0.5172370765890858), ('წ', 0.5155552573694653), ('ჯ', 0.5036705541788207), ('დ', 0.47866782835957566), ('თ', 0.47343903183501523), ('ქ', 0.4695774280621283), ('ჭ', 0.46883231154705174), ('ც', 0.4190207191851636), ('მ', 0.41770220148562187), ('ლ', 0.3963932658409024), ('ღ', 0.3951783548385531), ('პ', 0.3816929386899395), ('ჰ', 0.36555769683788886), ('ძ', 0.34239665362055505), ('კ', 0.3288544624986751), ('გ', 0.3175948451496937), ('ბ', 0.27543529601353955), ('ზ', 0.2419087156512414), ('ნ', 0.20136404453118995), ('ხ', 0.18600488708360752), ('ა', 0.1328416026399195), ('ს', 0.04774373356611883), ('ჩ', 0.0)
('ძ', 0.9652308276841569), ('ე', 0.7634894284708702), ('ჰ', 0.759111451631401), ('პ', 0.7546744193141186), ('ა', 0.750217828111119), ('კ', 0.7401959823271113), ('ვ', 0.6809303034034108), ('ც', 0.6524541854708265), ('ჭ', 0.6484231763420838), ('ტ', 0.6421105953224905), ('მ', 0.6329554179967665), ('ყ', 0.626124530151046), ('ქ', 0.6096584619607264), ('ჟ', 0.5818272351524011), ('ჯ', 0.5574508834895087), ('შ', 0.4837483045100194), ('თ', 0.4755683894041989), ('დ', 0.44713170710597816), ('რ', 0.43950746804996543), ('ი', 0.4371953620100163), ('ბ', 0.43527116680226996), ('გ', 0.4336821769912056), ('ფ', 0.42476290872220734), ('უ', 0.3265613705525957), ('ღ', 0.3241783160589684), ('ს', 0.3079248732021075), ('ხ', 0.27642946635946986), ('ნ', 0.2587119148633005), ('ლ', 0.24044017156917674), ('წ', 0.21716994015320468), ('ო', 0.1870032044011518), ('ზ', 0.06812175873406556), ('ჩ', 0.0)
('ლ', 0.9792224927336517), ('ღ', 0.8415797056861734), ('წ', 0.7118943721261048), ('ი', 0.6618284166128626), ('დ', 0.6433194348741309), ('ო', 0.6334429829911103), ('რ', 0.6317515069837398), ('თ', 0.5849642097939145), ('ტ', 0.511489442685843), ('ჯ', 0.49444670989807704), ('გ', 0.4915893147604986), ('ბ', 0.415969798049014), ('ნ', 0.4121249679962239), ('ფ', 0.4046623910123808), ('ხ', 0.3747357592417031), ('შ', 0.37048113996477683), ('ც', 0.36067588568386255), ('ყ', 0.35051722877471303), ('ვ', 0.31895826139452854), ('მ', 0.3063442440011843), ('უ', 0.3060469586776954), ('ჟ', 0.28817064204644527), ('ზ', 0.2571382538379323), ('ჭ', 0.2513112311553194), ('ე', 0.21240309667013646), ('ჩ', 0.20998850444582162), ('ძ', 0.18409596645277715), ('ს', 0.15561281421892859), ('პ', 0.12311431757125257), ('ქ', 0.037863042782733), ('ჰ', 0.003669704791123163), ('ა', 0.0016689252683969036), ('კ', 0.0)
('ე', 0.9762533997363538), ('ჰ', 0.8022585715706213), ('ძ', 0.7770381359502295), ('პ', 0.7751394886714623), ('კ', 0.7728256109403907), ('ვ', 0.7573552105028711), ('ქ', 0.7449453915799781), ('ყ', 0.7038787719505188), ('ტ', 0.6716421409787363), ('ჭ', 0.6618330200296325), ('ჟ', 0.6554581929597527), ('ც', 0.6283923057140461), ('მ', 0.6095761914131116), ('ა', 0.6015253201751831), ('ჯ', 0.5862997773903448), ('შ', 0.576637912030993), ('ფ', 0.55617667353053), ('უ', 0.5283619865009119), ('ი', 0.5120306476830518), ('თ', 0.49274851070167835), ('რ', 0.4916904330676075), ('დ', 0.47907328390727966), ('გ', 0.407713322474593), ('ბ', 0.4068483012709635), ('ღ', 0.3555825797018357), ('წ', 0.3073549532227907), ('ლ', 0.2987742826106661), ('ო', 0.2858039750183906), ('ს', 0.2522445092478468), ('ხ', 0.2502123518728623), ('ნ', 0.24451151987446307), ('ზ', 0.14307518357788385), ('ჩ', 0.0)
('ბ', 0.9190249498830633), ('გ', 0.8491573504648647), ('ხ', 0.8248417534314625), ('ნ', 0.7964529363584097), ('ჯ', 0.6953029906964154), ('ც', 0.659535572414728), ('დ', 0.6586595384618533), ('რ', 0.6493059518083278), ('ს', 0.6315346041077914), ('ი', 0.5549619552393721), ('თ', 0.5269097478776744), ('ჩ', 0.5160491889596304), ('ტ', 0.5077804851913315), ('ჭ', 0.49295599974420834), ('ზ', 0.4668579240407249), ('ვ', 0.4605949122626072), ('ყ', 0.43824434699412174), ('ღ', 0.431101917814975), ('მ', 0.42037138408102204), ('წ', 0.4188647140273767), ('ლ', 0.3858196591233589), ('ფ', 0.3344919454854326), ('ძ', 0.31682795606136427), ('პ', 0.31079117465527517), ('შ', 0.3100815122284969), ('ჟ', 0.30158279228012463), ('ო', 0.29707150689594664), ('ე', 0.2753952911054439), ('ა', 0.1653679491052188), ('ჰ', 0.13531209755003792), ('უ', 0.1319084845272197), ('კ', 0.07975307223380612), ('ქ', 0.0)
('ე', 0.9762533997363538), ('ჰ', 0.8022585715706213), ('ძ', 0.7770381359502295), ('პ', 0.7751394886714623), ('კ', 0.7728256109403907), ('ვ', 0.7573552105028711), ('ქ', 0.7449453915799781), ('ყ', 0.7038787719505188), ('ტ', 0.6716421409787363), ('ჭ', 0.6618330200296325), ('ჟ', 0.6554581929597527), ('ც', 0.6283923057140461), ('მ', 0.6095761914131116), ('ა', 0.6015253201751831), ('ჯ', 0.5862997773903448), ('შ', 0.576637912030993), ('ფ', 0.55617667353053), ('უ', 0.5283619865009119), ('ი', 0.5120306476830518), ('თ', 0.49274851070167835), ('რ', 0.4916904330676075), ('დ', 0.47907328390727966), ('გ', 0.407713322474593), ('ბ', 0.4068483012709635), ('ღ', 0.3555825797018357), ('წ', 0.3073549532227907), ('ლ', 0.2987742826106661), ('ო', 0.2858039750183906), ('ს', 0.2522445092478468), ('ხ', 0.2502123518728623), ('ნ', 0.24451151987446307), ('ზ', 0.14307518357788385), ('ჩ', 0.0)
('ლ', 0.971267674984228), ('ღ', 0.8472657615874549), ('წ', 0.7157236106851621), ('ი', 0.6625523360674794), ('ო', 0.6469005366725591), ('დ', 0.6391104586113714), ('რ', 0.6251747746676438), ('თ', 0.5888560858991546), ('ტ', 0.513126497118788), ('ჯ', 0.4913098574192927), ('გ', 0.4821049563909373), ('ფ', 0.41390265406770255), ('ბ', 0.40334176971293734), ('ნ', 0.3999759999809053), ('შ', 0.3827481861157558), ('ხ', 0.3624575997944556), ('ყ', 0.35678696416675637), ('ც', 0.35573570182677317), ('ვ', 0.32169473372102464), ('უ', 0.31796022433466176), ('მ', 0.31214021703871786), ('ჟ', 0.29858080682762644), ('ჭ', 0.25204987981965266), ('ზ', 0.2469763289767588), ('ე', 0.21712729194826685), ('ჩ', 0.19710017330562735), ('ძ', 0.18629659380096075), ('ს', 0.14004334581851274), ('პ', 0.12211767404404184), ('ქ', 0.04907100788240637), ('ჰ', 0.007632941190532705), ('კ', 0.00394775141770165), ('ა', 0.0)
('დ', 0.9107756291757843), ('ი', 0.8516201362673748), ('თ', 0.8142393207657497), ('რ', 0.7449504123721604), ('ჯ', 0.7339383424064152), ('ღ', 0.6880450037602728), ('გ', 0.6808647463206552), ('წ', 0.6769648889796307), ('ტ', 0.6193936665259334), ('ო', 0.6126478573249652), ('ლ', 0.6105927270842988), ('ფ', 0.5644319245989813), ('ც', 0.5525718927801871), ('ყ', 0.5465045315871604), ('შ', 0.5382142046715866), ('ბ', 0.534500670614896), ('ნ', 0.5314968351902734), ('ვ', 0.5054303111618312), ('მ', 0.5035065063137566), ('ხ', 0.4936985856215812), ('ჭ', 0.46319172479926596), ('ჟ', 0.447990395001026), ('უ', 0.3177583581220945), ('ე', 0.29043204030080794), ('ძ', 0.26062732529655874), ('ზ', 0.2534243659742862), ('ჩ', 0.22567335065936944), ('პ', 0.18221986580533966), ('ს', 0.1772008493468178), ('ჰ', 0.06905441124528744), ('ქ', 0.05354835633194244), ('კ', 0.011242957335194426), ('ა', 0.0)
('ა', 0.9426468810840447), ('ძ', 0.7338704643801761), ('პ', 0.6737700317823436), ('კ', 0.6626306985968942), ('ჰ', 0.6292302145504478), ('ე', 0.5834631901765199), ('ც', 0.5491824530223), ('ტ', 0.50234953685403), ('ვ', 0.49895804344813366), ('ჭ', 0.4879788088054161), ('მ', 0.4540988382904989), ('ქ', 0.4427525647586039), ('ჯ', 0.43368909240707854), ('ყ', 0.4261167061794585), ('ბ', 0.40548511605700954), ('ს', 0.3791015267047776), ('ჟ', 0.3744794339064653), ('გ', 0.3688369244932064), ('თ', 0.35135184452660784), ('რ', 0.34941302482334813), ('დ', 0.34874090064250063), ('ი', 0.32303508948255466), ('შ', 0.2957965602483863), ('ფ', 0.2610880845094825), ('ღ', 0.2513161512828683), ('ხ', 0.24533062593716481), ('ნ', 0.22341268446715656), ('ლ', 0.18711876089856772), ('უ', 0.18055790517968506), ('წ', 0.12272953253505159), ('ო', 0.07336697078574306), ('ზ', 0.03517821140699262), ('ჩ', 0.0)
